cop,cf,temp,cf_orig,heating load (mmbtu),heating load (ton),heating load/cf_orig,heating_load/cf
2.58,0.764,26.6,0.76416,2.4137762,201.1480167,263.2276181,263.2827443
2.58,0.764,26.6,0.76416,3.48589297,290.4910808,380.1443164,380.2239278
2.58,0.764,26.6,0.76416,2.41132089,200.9434075,262.9598612,263.0149313
2.497,0.743,24.8,0.74328,7.24052175,603.3768125,811.775929,812.0818472
2.497,0.743,24.8,0.74328,10.4301176,869.1764667,1169.379597,1169.820278
2.58,0.764,26.6,0.76416,6.87085194,572.570995,749.2815575,749.4384751
2.58,0.764,26.6,0.76416,5.45375563,454.4796358,594.7440796,594.8686333
2.663,0.785,28.4,0.78504,4.22277638,351.8980317,448.2549063,448.2777473
2.746,0.806,30.2,0.80592,3.39119266,282.5993883,350.6543929,350.6195885
2.746,0.806,30.2,0.80592,3.22807011,269.0058425,333.7872773,333.754147
2.829,0.827,32,0.8268,3.0453442,253.7786833,306.9408362,306.8666062
2.829,0.827,32,0.8268,2.85319769,237.7664742,287.5743519,287.5048055
2.746,0.806,30.2,0.80592,2.92261049,243.5508742,302.2022957,302.1723005
2.663,0.785,28.4,0.78504,3.24141799,270.1181658,344.0820415,344.0995743
2.663,0.785,28.4,0.78504,3.53700973,294.7508108,375.4596082,375.4787399
2.58,0.764,26.6,0.76416,3.69873314,308.2277617,403.3550064,403.4394786
2.497,0.743,24.8,0.74328,3.53279768,294.3998067,396.08197,396.2312337
2.497,0.743,24.8,0.74328,3.67487837,306.2398642,412.0114414,412.1667082
2.497,0.743,24.8,0.74328,3.37628884,281.3574033,378.5348769,378.677528
2.414,0.722,23,0.7224,0.16794755,13.99562917,19.37379453,19.38452793
2.33,0.702,21.2,0.70152,0.73056877,60.88073083,86.7840273,86.7246878
2.247,0.681,19.4,0.68064,0.85473082,71.22756833,104.6479318,104.5926114
2.164,0.66,17.6,0.65976,1.28350453,106.9587108,162.1176046,162.0586528
2.081,0.639,15.8,0.63888,1.12900875,94.0840625,147.2640598,147.2364045
1.998,0.618,14,0.618,1.46102274,121.751895,197.0095388,197.0095388
1.915,0.597,12.2,0.59712,1.37091743,114.2431192,191.3235517,191.3620087
1.915,0.597,12.2,0.59712,1.70173708,141.8114233,237.4923354,237.5400726
1.915,0.597,12.2,0.59712,4.51206261,376.0052175,629.6979125,629.8244849
1.915,0.597,12.2,0.59712,6.68739862,557.2832183,933.2851325,933.4727275
1.998,0.618,14,0.618,4.82467421,402.0561842,650.5763498,650.5763498
2.164,0.66,17.6,0.65976,3.67450985,306.2091542,464.1220355,463.9532639
2.33,0.702,21.2,0.70152,2.73556231,227.9635258,324.9565598,324.7343673
2.497,0.743,24.8,0.74328,2.01697091,168.0809092,226.1340399,226.2192586
2.497,0.743,24.8,0.74328,1.74800084,145.6667367,195.978281,196.0521355
2.497,0.743,24.8,0.74328,1.69395699,141.1630825,189.9191186,189.9906898
2.497,0.743,24.8,0.74328,1.76670849,147.2257075,198.0757016,198.1503466
2.497,0.743,24.8,0.74328,1.75238285,146.0319042,196.4695729,196.5436126
2.414,0.722,23,0.7224,1.84345928,153.6216067,212.6544943,212.7723084
2.33,0.702,21.2,0.70152,2.08420286,173.6835717,247.5817819,247.4124953
2.247,0.681,19.4,0.68064,2.35662822,196.385685,288.5309194,288.3783921
2.247,0.681,19.4,0.68064,2.45085486,204.237905,300.0674439,299.9088179
2.247,0.681,19.4,0.68064,2.69098507,224.2487558,329.4674951,329.2933272
2.247,0.681,19.4,0.68064,2.79563519,232.9695992,342.2802056,342.0992646
2.247,0.681,19.4,0.68064,0.07145523,5.9546025,8.748534468,8.743909692
2.164,0.66,17.6,0.65976,0.17247354,14.372795,21.7848839,21.77696212
2.164,0.66,17.6,0.65976,0.47441691,39.5347425,59.92291515,59.901125
2.081,0.639,15.8,0.63888,0.54288968,45.24080667,70.81268261,70.79938445
2.081,0.639,15.8,0.63888,0.77517077,64.59756417,101.1106376,101.0916497
2.081,0.639,15.8,0.63888,0.66310613,55.25884417,86.4933073,86.47706442
2.081,0.639,15.8,0.63888,1.03243745,86.03645417,134.667628,134.6423383
1.998,0.618,14,0.618,0.95040616,79.20051333,128.1561704,128.1561704
1.998,0.618,14,0.618,4.69503116,391.2525967,633.0948166,633.0948166
1.998,0.618,14,0.618,3.68568754,307.1406283,496.991308,496.991308
2.081,0.639,15.8,0.63888,2.39642955,199.7024625,312.5821164,312.5234155
2.247,0.681,19.4,0.68064,2.48167975,206.8066458,303.8414519,303.6808309
2.33,0.702,21.2,0.70152,2.82786021,235.6550175,335.9205974,335.6909081
2.497,0.743,24.8,0.74328,3.11863116,259.88593,349.6474142,349.779179
2.58,0.764,26.6,0.76416,3.44152044,286.79337,375.3053942,375.3839921
2.58,0.764,26.6,0.76416,3.56599684,297.1664033,388.8798201,388.9612609
2.58,0.764,26.6,0.76416,3.77911196,314.9259967,412.120494,412.2068019
2.497,0.743,24.8,0.74328,3.70835591,309.0296592,415.7647981,415.9214794
2.414,0.722,23,0.7224,3.71463944,309.5532867,428.5067645,428.7441644
2.33,0.702,21.2,0.70152,3.77524982,314.6041517,448.460702,448.1540622
2.247,0.681,19.4,0.68064,4.20867128,350.7226067,515.2835664,515.0111698
2.164,0.66,17.6,0.65976,4.91481172,409.5676433,620.7827745,620.5570354
2.164,0.66,17.6,0.65976,5.61101151,467.5842925,708.7187652,708.4610492
2.164,0.66,17.6,0.65976,5.33245549,444.3712908,673.5347563,673.2898346
2.164,0.66,17.6,0.65976,0.47313623,39.42801917,59.76115431,59.73942298
2.081,0.639,15.8,0.63888,1.08347132,90.28927667,141.3243123,141.2977726
2.081,0.639,15.8,0.63888,1.60563464,133.8028867,209.4335191,209.3941888
1.998,0.618,14,0.618,2.02034171,168.3618092,272.4301119,272.4301119
1.915,0.597,12.2,0.59712,2.43293224,202.7443533,339.5370333,339.605282
1.915,0.597,12.2,0.59712,2.6645181,222.043175,371.8568713,371.9316164
1.831,0.576,10.4,0.57624,2.97789637,248.1580308,430.6504769,430.8299146
1.831,0.576,10.4,0.57624,2.84141147,236.7842892,410.9126218,411.0838354
1.831,0.576,10.4,0.57624,5.46652316,455.5435967,790.5449061,790.8742998
1.831,0.576,10.4,0.57624,10.1946193,849.5516083,1474.301694,1474.915987
1.915,0.597,12.2,0.59712,6.57203897,547.6699142,917.1856815,917.3700405
2.081,0.639,15.8,0.63888,5.51081684,459.2347367,718.8121974,718.6772092
2.164,0.66,17.6,0.65976,4.92158956,410.1324633,621.6388737,621.4128232
2.33,0.702,21.2,0.70152,4.45963337,371.6361142,529.758402,529.396174
2.414,0.722,23,0.7224,3.97495361,331.2461342,458.5356232,458.7896595
2.497,0.743,24.8,0.74328,3.1223867,260.1988917,350.068469,350.2003926
2.497,0.743,24.8,0.74328,2.90947074,242.455895,326.1972541,326.3201817
2.414,0.722,23,0.7224,3.20145409,266.7878408,369.3076423,369.5122449
2.33,0.702,21.2,0.70152,3.78346317,315.2885975,449.4363632,449.1290563
2.247,0.681,19.4,0.68064,4.13397977,344.4983142,506.138802,505.8712396
2.164,0.66,17.6,0.65976,4.88236148,406.8634567,616.6840316,616.4597828
2.081,0.639,15.8,0.63888,4.85272138,404.3934483,632.9724648,632.8535968
1.998,0.618,14,0.618,5.18791779,432.3264825,699.557415,699.557415
1.915,0.597,12.2,0.59712,5.48871618,457.393015,765.9984844,766.1524539
1.915,0.597,12.2,0.59712,0.55340186,46.11682167,77.23208344,77.24760748
1.915,0.597,12.2,0.59712,1.18025845,98.35487083,164.7154187,164.7485274
1.915,0.597,12.2,0.59712,1.64921434,137.4345283,230.1623264,230.2085902
1.915,0.597,12.2,0.59712,1.9513744,162.6145333,272.331413,272.386153
1.831,0.576,10.4,0.57624,2.28135044,190.1125367,329.919021,330.0564873
1.665,0.534,6.8,0.53448,2.34515027,195.4291892,365.643596,365.9722644
1.582,0.514,5,0.5136,2.55454518,212.878765,414.4835767,414.1610214
1.499,0.493,3.2,0.49272,2.44108746,203.423955,412.8591391,412.6246552
1.499,0.493,3.2,0.49272,5.3557647,446.313725,905.8161329,905.3016734
1.416,0.472,1.4,0.47184,9.92606057,827.1717142,1753.076709,1752.482445
1.416,0.472,1.4,0.47184,6.49096557,540.9137975,1146.392416,1146.003808
1.499,0.493,3.2,0.49272,5.60493499,467.0779158,947.9581016,947.4197076
1.582,0.514,5,0.5136,5.05252497,421.0437475,819.789228,819.1512597
1.665,0.534,6.8,0.53448,4.46627172,372.18931,696.357787,696.9837266
1.748,0.555,8.6,0.55536,4.15404695,346.1705792,623.3264534,623.7307733
1.748,0.555,8.6,0.55536,3.84060142,320.0501183,576.2930682,576.6668799
1.748,0.555,8.6,0.55536,4.05003978,337.503315,607.7198844,608.1140811
1.748,0.555,8.6,0.55536,4.11680035,343.0666958,617.7374961,618.1381907
1.748,0.555,8.6,0.55536,4.44813071,370.6775592,667.4545505,667.887494
1.665,0.534,6.8,0.53448,5.26377645,438.6480375,820.7005641,821.4382725
1.665,0.534,6.8,0.53448,0.51394257,42.8285475,80.13124439,80.20327247
1.582,0.514,5,0.5136,1.09758412,91.46534333,178.0867277,177.9481388
1.582,0.514,5,0.5136,1.14407874,95.339895,185.6306367,185.486177
1.499,0.493,3.2,0.49272,1.36884533,114.0704442,231.5116987,231.3802113
1.499,0.493,3.2,0.49272,1.29483691,107.9030758,218.9947147,218.8703364
1.499,0.493,3.2,0.49272,1.70819022,142.349185,288.9048242,288.7407404
1.499,0.493,3.2,0.49272,1.44366097,120.3050808,244.1652071,244.0265331
1.499,0.493,3.2,0.49272,1.83974391,153.3119925,311.154393,310.9776724
1.582,0.514,5,0.5136,1.56190008,130.15834,253.4235592,253.2263424
1.582,0.514,5,0.5136,2.18319505,181.9329208,354.2307649,353.9550989
1.582,0.514,5,0.5136,1.6816455,140.137125,272.8526577,272.640321
1.582,0.514,5,0.5136,2.22069747,185.0581225,360.3156591,360.0352578
